Playlist,Clave,Valor
K-Pop,Your Idol,Saja Boys
K-Pop,Golden,HUNTR/X
K-Pop,Soda Pop,Saja Boys
K-Pop,PTT (Paint The Town),LOONA
K-Pop,DNA,BTS
K-Pop,I'm Fine,BTS
K-Pop,IDOL,BTS
K-Pop,Answer : Love Myself,BTS
K-Pop,Best Of Me,BTS
K-Pop,Go Go,BTS
K-Pop,Dynamite,BTS
K-Pop,Permission to Dance,BTS
K-Pop,Blood Sweat & Tears,BTS
K-Pop,BOOMBAYAH,BLACKPINK
K-Pop,DDU-DU DDU-DU,BLACKPINK
K-Pop,JUMP,BLACKPINK
K-Pop,SPOT!,ZICO
K-Pop,BEAM BEAM,SOYEON
K-Pop,As If It's Your Last,BLACKPINK
K-Pop,POP/STARS,K/DA
K-Pop,Moon,BTS
K-Pop,PARANOIA,HEARTSTEEL
K-Pop,Super Shy,NewJeans
J-Rock,Wherever you are,ONE OK ROCK
J-Rock,Stand Out Fit In,ONE OK ROCK
J-Rock,The Beginning,ONE OK ROCK
J-Rock,Tropical Therapy,ONE OK ROCK
J-Rock,Party’s Over,ONE OK ROCK
J-Rock,The Pilot </3,ONE OK ROCK
J-Rock,Dystopia,ONE OK ROCK
J-Rock,Save Yourself - Japanese Version,ONE OK ROCK
J-Rock,Neon,ONE OK ROCK
J-Rock,Unforgettable,ONE OK ROCK
J-Rock,Nothing Helps,ONE OK ROCK
J-Rock,Never Let This Go,ONE OK ROCK
J-Rock,Yes I am,ONE OK ROCK
J-Rock,Riot!!!,ONE OK ROCK
J-Rock,Memories,ONE OK ROCK
J-Rock,One by One,ONE OK ROCK
J-Rock,Answer is near,ONE OK ROCK
J-Rock,Re:make,ONE OK ROCK
J-Rock,Kimishidai Ressha,ONE OK ROCK
J-Rock,Hitsuzen maker,ONE OK ROCK
J-Rock,Sansan dama,ONE OK ROCK
J-Rock,Kemuri,ONE OK ROCK
J-Rock,(you can do)everything,ONE OK ROCK
J-Rock,Yokubou ni michita seinendan,ONE OK ROCK
J-Rock,夢幻,MY FIRST STORY
J-Rock,REVIVER,MY FIRST STORY
J-Rock,Missing You,MY FIRST STORY
J-Rock,Warning,MY FIRST STORY
J-Rock,Take it Back!!,MY FIRST STORY
J-Rock,Bullet radio,MY FIRST STORY
J-Rock,Second Limit,MY FIRST STORY
J-Rock,The Story Is My Life,MY FIRST STORY
J-Rock,虚言NEUROSE - Itsuwari Neurose,MY FIRST STORY
J-Rock,Black Rail,MY FIRST STORY
J-Rock,Room,MY FIRST STORY
J-Rock,Fake,MY FIRST STORY
J-Rock,Someday,MY FIRST STORY
J-Rock,Nothing In The Story,MY FIRST STORY
J-Rock,ALONE,MY FIRST STORY
J-Rock,イマジネーション,SPYAIR
J-Rock,不可逆リプレイス - Fukagyaku Replace,MY FIRST STORY
J-Rock,Home,MY FIRST STORY
J-Rock,カーテンコール,Yuuri
J-Rock,RAGE OF DUST,SPYAIR
Belicosos,Y LLORO,Junior H
Belicosos,Pienso en Ella,Natanael Cano
Belicosos,ROSA PASTEL,Peso Pluma
Belicosos,Alch Si,Carín León
Belicosos,AMOR PROPIO,Grupo Frontera
Belicosos,TULUM,Peso Pluma
Belicosos,LADY GAGA,Peso Pluma
Azul y oro,Bluebird,Luke Howard
Azul y oro,Indigo,Nadje Noordhuis
Azul y oro,Era già tutto previsto,Riccardo Cocciante
Azul y oro,Amarte es un placer,Luis Miguel
Azul y oro,Por Debajo De La Mesa,Luis Miguel
Azul y oro,La Carcel De Sing Sing,José Feliciano
Azul y oro,Fado português,Amália Rodrigues
Azul y oro,Con el sueño entre mis brazos,Café Quijano
Azul y oro,Piensa en mí,Luz Casal
Azul y oro,A Hilly Town,Yuji Nomi
Azul y oro,Lágrimas do céu,Carminho
Azul y oro,Quem Me Dera,Mariza
Azul y oro,Volver,Estrella Morente
Azul y oro,Inténtalo encontrar - Bulería,Mayte Martin
Azul y oro,Porco e Bella,Joe Hisaishi
Azul y oro,In Search of the Distant Era,Joe Hisaishi
Azul y oro,Merry Go Round of Life (From Howl's Moving Castle Original Motion Picture Soundtrack),Grissini Project
Azul y oro,Nostalgia,Joe Hisaishi
Azul y oro,Mediterráneo,María José Llergo
Azul y oro,Algo contigo,Rita Payés
Azul y oro,I REMEMBER CLIFFORD,Masayoshi Takanaka
